side,N,prec,iters,event,per_transform
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_double,1.000866988886158
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
fftw,2048,f64,146484,instructions,37288.68509871385
yafft_v2,2048,f64,146484,cycles,24345.257113404878
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,41995.17488599438
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.scalar_double,0.9995767455831354
yafft_v2,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,2048,f64,146484,instructions,111188.78210589553
yafft_v3,2048,f64,146484,cycles,19623.038325004778
yafft_v3,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.0002252805767182764
yafft_v3,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,21013.773156112613
yafft_v3,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.scalar_double,1.0001638404194315
yafft_v3,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,2048,f64,146484,instructions,48858.36462685344
yafft_v4,2048,f64,146484,cycles,12946.145934026925
yafft_v4,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.3881993937904481
yafft_v4,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,10281.652726577646
yafft_v4,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.scalar_double,1.000969389148303
yafft_v4,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,2048,f64,146484,instructions,26986.871221430327
fftw,4096,f64,100000,cycles,28618.6529
fftw,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,46957.87034
fftw,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.scalar_double,4.72956
fftw,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
fftw,4096,f64,100000,instructions,90693.78856
yafft_v2,4096,f64,100000,cycles,58666.16001
yafft_v2,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,95220.21237
yafft_v2,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.scalar_double,0.99891
yafft_v2,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,4096,f64,100000,instructions,276198.68643
yafft_v3,4096,f64,100000,cycles,47082.55453
yafft_v3,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,0.00056
yafft_v3,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,47637.83002
yafft_v3,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.scalar_double,4.69652
yafft_v3,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,4096,f64,100000,instructions,133429.1485
yafft_v4,4096,f64,100000,cycles,30884.84898
yafft_v4,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,1.13757
yafft_v4,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,22369.87156
yafft_v4,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.scalar_double,0.99777
yafft_v4,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,4096,f64,100000,instructions,56894.11016
fftw,60,f32,5000000,cycles,163.1558888
fftw,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,-3.72e-05
fftw,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,64.0268366
fftw,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,154.677808
fftw,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.scalar_double,-1.2e-06
fftw,60,f32,5000000,fp_arith_inst_retired.scalar_single,0.997753
fftw,60,f32,5000000,instructions,869.3190162
yafft_v2,60,f32,5000000,cycles,352.9906352
yafft_v2,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,0.0003684
yafft_v2,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,404.2382114
yafft_v2,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.scalar_double,-1.4e-06
yafft_v2,60,f32,5000000,fp_arith_inst_retired.scalar_single,48.9868084
yafft_v2,60,f32,5000000,instructions,2094.264462
yafft_v3,60,f32,5000000,cycles,264.4261454
yafft_v3,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,317.0600322
yafft_v3,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,34.0136772
yafft_v3,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
